GROUP,,NUMBER ,NAME,QTY,DESCRIPTION
BARS,,00001,"SONOMA LADDER BAR BACK 23"" X 108"" X 67""",10,
BARS,,00002,SONOMA LADDER SHELVES BAR BACK SET (4),5,
BARS,,00003,"MARQUEE RED LETTER ""A"" 3"" X 20"" X 18""",4,
BARS,,00004,"MARQUEE RUSTED LETTER ""A""  4"" X 21"" X 25""",2,
BARS,,00005,"MARQUEE RED LETTER ""B"" 3"" X 20"" X 18""",4,
BARS,,00006,"MARQUEE RUSTED LETTER ""B""  4"" X 21"" X 25""",2,
BARS,,00007,"MARQUEE RED LETTER ""R"" 3"" X 20"" X 18""",4,
BARS,,00008,"MARQUEE RUSTED LETTER ""R""  4"" X 21"" X 25""",2,
BARS,,00009,"MAHOGANY BAR COLUMN 24"" X 24"" X 48""",10,
BARS,,00010,"MAHOGANY BAR COLUMN TOPS 28"" X 28"" X 2""",8,
BARS,,00011,"MAHOGANY BAR FRONT 16"" X 72"" X45""",8,
BARS,,00012,MEXICAN BAR TILE TOP,3,
BARS,,00013,"SONOMA RECLAIM WOOD BAR FRONT 33"" X 73"" X 50""",5,
BARS,,00014,"SONOMA RECLAIM WOOD BAR TOPS 14"" X 77"" X 2""",5,
BARS,,00015,TABLE FOLDABLE WHITE 5' ,4,MAINSTAYS. FOR SONOMA BAR
CACTUS,,00016,GREEN FAUX SAHUARO 8' ,6,
CACTUS,,00017,ROPE LIT CACTUS OCOTILLO 8',6,
CACTUS,,00018,ROPE LIT CACTUS PRICKLEY PEAR 6',5,
CACTUS,,00019,ROPE LIT CACTUS SMALL SAHUARO 8',1,
CACTUS,,00020,ROPE LIT CACTUS TALL SAHUARO 12',8,
COVERS,,00021,BAR BACK LADDER COVER,10,
COVERS,,00022,BAR BACK SHELF FOR LADDER COVER,5,
COVERS,,00023,BENCH COVER 7' ,3,
COVERS,,00024,BENCH COVER 9' ,17,
COVERS,,00025,BUCKLE COVERS,,
COVERS,,00026,MAHOGANY BAR COLUMN TOP COVER,8,
COVERS,,00027,POLE BASE COVER LARGE,20,
COVERS,,00028,POLE BASE RUBBER COVER,10,
COVERS,,00029,POLE PROTECTIVE COVER,20,
COVERS,,00030,POLE RUBBER COVER,20,
COVERS,,00031,ROUND TABLE CART COVER,1,
COVERS,,00032,ROUND TABLE COVER,25,
COVERS,,00033,SONOMA BAR TOP COVER,5,
COVERS,,00034,"TABLE COVERS 2"" X 4"" ",9,
COVERS,,00035,TABLE COVERS 3' X 6' ,15,
COVERS,,00036,TABLE COVERS 4' X 8' ,8,
COVERS,,00037,TREE STRAPS,,
COVERS,,00038,"TRUSS BASE COVER BLACK 12"" ",8,
COVERS,,00039,"TRUSS BASE COVER BLACK 8""",10,
COVERS,,00040,"TRUSS COVER 12"" X 15' (46"") ",1,
COVERS,,00041,"TRUSS COVER BLACK 12"" X 13'",4,
COVERS,,00042,"TRUSS COVER BLACK 12"" X 13' (46"") ",3,
COVERS,,00043,"TRUSS COVER BLACK 8"" X 13'  ",12,
COVERS,,00044,TRUSS COVER WHITE 4' X 10.5' ,1,
COVERS,,00045,TRUSS COVER WHITE 4' X 13' ,2,
COVERS,,00046,WATER BARREL COVERS,18,
LIGHTING EQUIPMENT,,00113,BISTRO LIGHTING 10 FT,2,
LIGHTING EQUIPMENT,,00047,BISTRO LIGHTING 100 FT,23,
LIGHTING EQUIPMENT,,00114,BISTRO LIGHTING 100 FT LAWN COURT,6,
LIGHTING EQUIPMENT,,00112,BISTRO LIGHTING 20 FT,2,
LIGHTING EQUIPMENT,,00048,BISTRO LIGHTING 25 FT,10,
LIGHTING EQUIPMENT,,00111,BISTRO LIGHTING 30 FT,1,
LIGHTING EQUIPMENT,,00110,BISTRO LIGHTING 35 FT,1,
LIGHTING EQUIPMENT,,00109,BISTRO LIGHTING 45 FT,1,
LIGHTING EQUIPMENT,,00049,BISTRO LIGHTING 50 FT,1,
LIGHTING EQUIPMENT,,00108,BISTRO LIGHTING 65 FT,1,
LIGHTING EQUIPMENT,,00050,BISTRO LIGHTING 75 FT,1,
